key,en,zh-TW
analytics.assignedConversationsByAdmins,Assigned conversations by human agents,真人客服已指派的對話
analytics.assignedConversationsByAdminsHelp,Conversations assigned from the inbox or by the bot.,從收件匣或機器人分配的對話。
analytics.followUpConversations,Follow up conversations,跟進對話
analytics.followUpConversationsHelp,Conversations marked as follow-up from the inbox or by the bot.,標記為來自收件匣或機器人的後續對話。
analytics.archivedConversations,Archived conversations,封存的對話
analytics.blockedConversations,Blocked conversations,阻止的對話
analytics.blockedConversationsHelp,Conversations that your account blocked.,您的帳戶封鎖的對話。
analytics.blockedContacts,Blocked contacts,已封鎖的聯絡人
analytics.blockedContactsHelp,Contacts don't want to receive messages from your account,不希望再接收您帳號訊息的聯絡人
analytics.newContactsByCountry,New contacts by country,依國家／地區分類的新聯絡人
analytics.date,Date,日期
analytics.total,Total,總計
analytics.messagesSent,Messages Sent,已傳送訊息
analytics.selectRange,Select range,選擇範圍
analytics.dateFilterPreset,Date filter preset,日期過濾器預設
analytics.noResults,No results.,無結果。
analytics.noData,No data,無資料
analytics.comingSoon,Coming soon,即將推出
analytics.unknown,Unknown,未知
analytics.pagination.selectedRows,{selected} of {total} row(s) selected.,已選取 {selected} / {total} 列。
analytics.pagination.rowsPerPage,Rows per page,每頁列數
analytics.pagination.pageOf,Page {page} of {pageCount},第 {page} 頁（共 {pageCount}）
analytics.pagination.firstPage,Go to first page,前往第一頁
analytics.pagination.previousPage,Go to previous page,前往上一頁
analytics.pagination.nextPage,Go to next page,前往下一頁
analytics.pagination.lastPage,Go to last page,前往最後一頁
analytics.sessionsThroughTheRef,"Sessions through the Ref ""{ref}"" per day",每日透過 Ref「{ref}」產生的工作階段
analytics.sessionsThroughTheMagicLink,"Sessions through the Magic Link ""{ref}"" per day",透過 Magic Link「{ref}」產生的每日工作階段
flowAnalytics.nodes.start,Start,開始
flowAnalytics.nodes.notFound,Node not found,找不到節點
flowAnalytics.stats.sent,Sent,已傳送
flowAnalytics.stats.delivered,Delivered,已交付
flowAnalytics.stats.seen,Seen,已看過
flowAnalytics.stats.clicked,Clicked,已點擊
flowAnalytics.stats.waiting,Waiting,等待
autoAssignConversation.rule.allTime,Equal conversation distribution (All time),平等的對話分配（所有時間）
autoAssignConversation.rule.label,Assignment Rule,分配規則
autoAssignConversation.rule.last24Hours,Equal conversation distribution (Last 24 hours),平等對話分佈（過去 24 小時）
autoAssignConversation.rule.last8Hours,Equal conversation distribution (Last 8 hours),平等對話分佈（過去 8 小時）
autoAssignConversation.rule.lastHour,Equal conversation distribution (Last Hour),平等對話分配（最後一小時）
autoAssignConversation.users.label,Users,使用者
automatedResponse.setting.description,Automated responses description,自動回應描述
automatedResponse.setting.label,Automated Responses,自動回應
billing.title,Billing,計費
billing.plan.label,Plan: {plan},方案：{plan}
billing.plan.free,Free,免費
billing.usage.contacts,Contacts,聯絡人
billing.usage.mac,Monthly active contacts,每月活躍聯絡人
billing.usage.botMessages,Bot messages,機器人訊息
billing.usage.monthlyBotMessages,Bot messages (monthly),每月機器人訊息
billing.usage.workspaces,Workspaces,工作區
billing.usage.channels,Channels,頻道
billing.usage.teamMembers,Team members,團隊成員
billing.limitReached.workspaces,You've reached your workspace limit. Upgrade your plan to create more.,您已達到工作區上限。請升級方案以建立更多工作區。
billing.limitReached.channels,You've reached your channel limit. Upgrade your plan to connect more.,您已達到頻道上限。請升級方案以連接更多頻道。
billing.limitReached.teamMembers,You've reached your team member limit. Upgrade your plan to invite more.,您已達到團隊成員上限。請升級方案以邀請更多人。
billing.limitReached.contacts,You've reached your contact limit. Upgrade your plan to add more.,您已達到聯絡人上限。請升級方案以新增更多聯絡人。
billing.limitReached.mac,You've reached your monthly active contact limit. Upgrade your plan to reach more.,您已達到每月活躍聯絡人上限。請升級方案以支援更多使用量。
billing.pastDue.message,Your last payment failed. Update your payment method to keep your workspace active.,您上次付款失敗。請更新付款方式以保持工作區可用。
billing.trial.daysLeft,Trial: {days} days left,試用期：剩下 {days} 天
billing.trial.endsTomorrow,Trial ends tomorrow,試用期將於明天結束
billing.trial.expired,Your trial has ended — upgrade to keep your workspace active,您的試用已結束 — 升級以保持您的工作區維持啟用狀態
billing.trial.dismiss,Dismiss,關閉
billing.trialExpired.title,Your free trial has ended,您的免費試用已結束
billing.trialExpired.description,Subscribe to a plan to keep using your workspaces.,訂閱方案以繼續使用您的工作區。
billing.trialExpired.cta,View plans,檢視方案
billing.trialExpired.bannerTitle,Trial ended,試用結束
billing.trialExpired.bannerDescription,Creating new resources is disabled. You can still disconnect channels and schedule workspace deletion.,已停用建立新資源。您仍然可以中斷頻道連線並安排刪除工作區。
billing.trialExpired.bannerCta,Upgrade,升級
billing.trialExpired.createDisabled,Creating new {feature} is disabled. Upgrade to continue.,建立新的 {feature} 已停用。升級才能繼續。
billing.macLimitReached.bannerTitle,Monthly active contact limit reached,已達到每月活躍聯絡人限制
billing.macLimitReached.bannerDescription,Sending and receiving messages is paused until you upgrade your plan.,傳送與接收訊息將暫停，直到您升級方案。
billing.macLimitReached.bannerCta,Upgrade,升級
billing.macLimitReached.createDisabled,Creating new {feature} is disabled until you upgrade your plan.,建立新的 {feature} 將被停用，直到您升級您的方案。
broadcasts.title,Broadcasts,廣播
broadcasts.status.scheduled,Scheduled,已安排
broadcasts.status.sent,Sent,已傳送
broadcasts.status.sending,Sending,正在傳送
broadcasts.status.cancelled,Cancelled,已取消
broadcasts.stats.sent,Sent,已傳送
broadcasts.stats.delivered,Delivered,已交付
broadcasts.stats.seen,Seen,已看過
broadcasts.stats.clicked,Clicked,已點擊
broadcasts.stats.failed,Failed,失敗
broadcasts.stats.noContacts,No contacts found,找不到聯絡人
broadcasts.stats.pageInfo,Page {page} of {pageCount},第 {page} 頁（共 {pageCount}）
broadcasts.stats.selectedAll,All selected,已全選
broadcasts.stats.selectedCount,{count} selected,{count}
broadcasts.stats.tagAllDialogDescription,Tags will be added to all selected contacts.,標籤將新增到所有已選聯絡人。
broadcasts.stats.tagDialogDescription,Tags will be added to {count} contact(s).,標籤將新增到 {count} 位聯絡人。
broadcasts.stats.tagQueued,Tagging {count} contacts in the background.,在後台標記 {count} 聯絡人。
broadcasts.stats.loadingMore,Loading more...,載入更多...
broadcasts.stats.receivers,Receivers,接收器
broadcasts.messengerList.title,Messenger List,Messenger 清單
broadcasts.messengerList.description,"May contain promotions, and it will send only to people that subscribed to your Messenger list.",可能包含促銷訊息，並且只會傳送給已訂閱您 Messenger 清單的人。
broadcasts.messengerActiveContacts.title,Messenger Active Contacts,Messenger 活躍聯絡人
broadcasts.messengerActiveContacts.description,May contain promotions and will only be sent to users who messaged your bot within the last 24h.,可能包含促銷訊息，並且只會傳送給過去 24 小時內向您的機器人傳送訊息的使用者。
broadcasts.messengerAccountUpdate.title,Messenger Account Update,Messenger 帳號更新
broadcasts.messengerAccountUpdate.description,Notify the user of a non-recurring change to their application or account.,通知使用者其應用程式或帳戶發生非經常性變更。
broadcasts.messengerConfirmedEventUpdate.title,Messenger Confirmed Event Update,Messenger已確認的事件更新
broadcasts.messengerConfirmedEventUpdate.description,"Send the user reminders or updates for an event they have registered for (e.g., purchased tickets). This tag may be used for upcoming events and events in progress.",向使用者傳送他們已註冊的活動的提醒或更新（例如，購買的門票）。此標籤可用於即將發生的事件和正在進行的事件。
broadcasts.messengerPostPurchaseUpdate.title,Messenger Post Purchase Update,Messenger 購買後更新
broadcasts.messengerPostPurchaseUpdate.description,"Notify the user of an update on a recent purchase. Confirmation of transaction, such as invoices or receipts, Notifications of shipment status, such as product in-transit, shipped, delivered, or delayed.",通知使用者最近購買的更新。交易確認，例如發票或收據，出貨狀態通知，例如產品在途、已出貨、已交付或延遲。
broadcasts.allContacts.title,All Contacts,全部聯絡人
broadcasts.allContacts.description,Send a flow to all contacts.,向所有聯絡人傳送流。
broadcasts.receiversCount,Receivers: {count},接收器：{count}
broadcasts.receiversLoading,Receivers: Loading...,接收器：正在載入...
broadcasts.whatsappTemplateMessage.title,Template Message,範本訊息
broadcasts.whatsappTemplateMessage.description,Send WhatsApp template message to your contacts,將 WhatsApp 訊息範本傳送給您的聯絡人
broadcasts.messengerTemplateMessage.title,Template Message,範本訊息
broadcasts.messengerTemplateMessage.description,Send Messenger template message to your contacts,將 Messenger 訊息範本傳送給您的聯絡人
broadcasts.whatsappWithin24Hours.title,Active contacts within 24 hours,24 小時內活躍聯絡人
broadcasts.whatsappWithin24Hours.description,May contain promotions and will only be sent to users who messaged your bot within the last 24h.,可能包含促銷訊息，並且只會傳送給過去 24 小時內向您的機器人傳送訊息的使用者。
broadcasts.instagramActiveContacts.title,Instagram,Instagram
broadcasts.instagramActiveContacts.description,May contain promotions and will only be sent to users who messaged your bot within the last 24h.,可能包含促銷訊息，並且只會傳送給過去 24 小時內向您的機器人傳送訊息的使用者。
broadcasts.telegramAllContacts.title,Telegram,Telegram
broadcasts.telegramAllContacts.description,Use this message type if you want to send a broadcast to your Telegram contacts.,如果您想向您的Telegram 聯絡人傳送廣播，請使用此訊息類型。
broadcasts.tiktokActiveContacts.title,TikTok,TikTok
broadcasts.tiktokActiveContacts.description,May contain promotions and will only be sent to users who messaged your bot within the last 24h. TikTok broadcasts support text and images only.,可能包含促銷訊息，並且只會傳送給過去 24 小時內向您的機器人傳送訊息的使用者。TikTok 廣播僅支援文字和影像。
broadcasts.flowType.flow.title,Flow,流程
broadcasts.flowType.flow.description,Send a flow to your contacts,向您的聯絡人傳送串流
broadcasts.flowType.template.title,Template,範本
broadcasts.flowType.template.description,Send a template to your contacts,將範本傳送給您的聯絡人
broadcasts.detail.title,Broadcast detail,廣播詳細資訊
broadcasts.detail.subaction,Subaction,子操作
broadcasts.detail.audienceFilter,Audience filter,受眾過濾器
broadcasts.detail.noAudienceFilter,No audience filter,無受眾過濾器
broadcasts.detail.template,Template,範本
broadcasts.detail.noTemplate,No template,無範本
broadcasts.detail.integration,Integration,整合
condition.yes,Yes,是
condition.no,No,否
condition.valuePlaceholder,...,...
condition.datePlaceholder,YYYY-MM-DD,年-月-日
condition.datetimePlaceholder,YYYY-MM-DD HH:mm,YYYY-MM-DD HH:mm
condition.datetimeInvalid,Enter a date as YYYY-MM-DD HH:mm or a variable,輸入 YYYY-MM-DD HH:mm 格式的日期或變量
condition.operator.and,All conditions,所有條件
condition.operator.or,Any condition,任何條件
condition.fields.locale,Language,語言
condition.fields.language,Language,語言
condition.fields.fullName,Full name,全名
condition.fields.country,Country,國家/地區
condition.fields.continent,Continent,大陸
condition.fields.gender,Gender,性別
condition.fields.subscribedToBroadcast,Subscribed to broadcast,訂閱廣播
condition.fields.contactCreatedDate,Contact created date,聯絡人建立日期
condition.fields.contactCreatedDateMinutesAgo,Contact created date (minutes ago),聯絡人建立日期（幾分鐘前）
condition.fields.source,Source,來源
condition.fields.conversationTransferredToHuman,Conversation transferred to human,對話轉移到人類
condition.fields.interactedInLast24H,Interacted in last 24 hours,過去 24 小時內的互動次數
condition.fields.interactedInLast24h,Interacted in last 24 hours,過去 24 小時內的互動次數
condition.fields.followUp,Follow up,跟進
condition.fields.isGuestUser,Guest user,訪客使用者
condition.fields.existingContact,Existing contact,現有聯絡人
condition.fields.hasContactInfo,Phone and email,電話和電子郵件
condition.fields.currentChannel,Channel,頻道
condition.fields.inbox,Inbox,收件匣
condition.fields.subjectToEuRules,Subject to EU rules,遵守歐盟規則
condition.fields.timezone,Time zone,時區
condition.fields.hasOpportunity,"Has opportunity (Open, Won, Lost)",有機會（開放、獲勝、輸球）
condition.fields.hasOpenOpportunity,Has open opportunity,有空缺機會
condition.fields.hasWonOpportunity,Has won opportunity,已贏得機會
condition.fields.hasLostOpportunity,Has lost opportunity,失去了機會
condition.fields.instagramStoryReply,Message is an Instagram story reply,訊息是 Instagram 限時動態回覆
condition.fields.followsBusinessOnInstagram,Follows business on Instagram,關注 Instagram 上的商家
condition.fields.businessFollowsUserOnInstagram,Business follows user on Instagram,商家在 Instagram 上關注使用者
condition.fields.verifiedAccountOnInstagram,Verified account on Instagram,Instagram 已驗證帳號
condition.fields.followerCountOnInstagram,Follower count on Instagram,Instagram 追蹤者數
condition.fields.lastSent,Last sent,最後傳送
condition.fields.lastDelivered,Last delivered,最後交付
condition.fields.lastSeen,Last seen,最後出現
condition.fields.lastSeenMinutesAgo,Last seen (minutes ago),最後出現（分鐘前）
condition.fields.lastInteraction,Last interaction,最後一次互動
condition.fields.lastInteractionMinutesAgo,Last interaction (minutes ago),最後一次互動（分鐘前）
condition.fields.unreplied,Unreplied,未回覆
condition.fields.unread,Unread,未讀
condition.fields.appliedJobs,Applied jobs,申請的職位
condition.fields.tags,Tags,標籤
condition.fields.customFields,Custom fields,自訂欄位
condition.fields.phone,Phone,電話
condition.fields.completedWhatsAppFlows,Completed WhatsApp Flows,完成 WhatsApp 流程
condition.fields.messengerList,Messenger List,Messenger 清單
condition.fields.subscribedToDripCampaign,Subscribed to drip campaign,訂閱滴灌活動
condition.fields.conversationAssigned,Conversation assigned,已分配會話
condition.fields.entryPointsLinks,Entry Points Links,入口點連結
condition.fields.sentMessage,Sent message,已傳送訊息
condition.fields.keywordsReceived,Keywords Received,已收到關鍵字
condition.fields.executedFlow,Executed flow,執行流程
condition.fields.executedStep,Executed Step,執行步驟
condition.fields.consecutiveAiFailures,Number of consecutive AI failures,AI連續失敗次數
condition.fields.questionnaireStarted,Questionnaire started,問卷已開始
condition.fields.questionnaireInProgress,Questionnaire in progress,問卷進行中
condition.fields.questionnaireFinished,Questionnaire finished,問卷完成
condition.fields.couponTopic,Coupon,優惠券
condition.fields.votedOnPoll,Voted on the poll,已投票
condition.fields.lastComment,Last comment,最後留言
condition.fields.commentedOnPost,Commented on Post,曾對貼文留言
condition.fields.reactedOnPost,Reacted on post,回覆貼文
condition.fields.lastTotalTaggedUsers,Last total tagged users,最後標記的使用者總數
condition.fields.lastTotalNewTaggedUsers,Last total new tagged users,最後新標記使用者總數
condition.fields.email,Email,電子郵件
condition.fields.phoneWasVerified,Phone was Verified,電話已驗證
condition.fields.optedInForSms,Opted in for SMS,已同意接收簡訊
condition.fields.broadcastSent,Broadcast Sent,廣播已傳送
condition.fields.broadcastDelivered,Broadcast Delivered,廣播已交付
condition.fields.broadcastSeen,Broadcast Seen,廣播已檢視
condition.fields.broadcastClicked,Broadcast Clicked,廣播已點擊
condition.fields.broadcastFailed,Broadcast Failed,廣播失敗
condition.fields.emailWasVerified,Email was Verified,電子郵件已驗證
condition.fields.optedInForEmail,Opted in for Email,選擇接收電子郵件
condition.fields.emailSent,Email Sent,電子郵件已傳送
condition.fields.emailDelivered,Email Delivered,電子郵件已送達
condition.fields.emailOpened,Email Opened,電子郵件已打開
condition.fields.emailClicked,Email Clicked,點選電子郵件
condition.fields.isWithinWorkingHours,Is within working hours,工作時間內
condition.fields.currentDate,Current date,目前日期
condition.fields.currentTime,Current time,目前時間
condition.fields.currentDayOfMonth,Current day of month,目前日期
condition.fields.currentDayOfWeek,Current day of week,星期幾
condition.fields.currentMonth,Current month,目前月份
condition.fields.bought,Bought,已購買
condition.fields.boughtItems,Bought the items,購買了項目
condition.fields.totalSpent,Total spent,總支出
condition.fields.numberOfOrders,Number of orders,訂單數
condition.fields.shoppingCartTotal,Shopping cart total,購物車總數
condition.fields.shoppingCartSubtotal,Shopping cart subtotal,購物車小計
condition.fields.shoppingCartIsEmpty,Shopping cart is empty,購物車是空的
condition.fields.shoppingCartContainsItems,Shopping cart contains items,購物車包含商品
condition.fields.lastSentMessageFailed,Last Sent Message Failed,上一則傳送訊息失敗
condition.fields.lastUserInput,Last user input,最後一次使用者輸入
condition.fields.lastUserInputType,Last user input type,最後的使用者輸入類型
condition.fields.archived,Archived,已封存
condition.fields.blocked,Blocked,已阻止
condition.fields.noAdminReply,No admin reply,無管理員回覆
condition.fields.contactCreatedAt,Contact created at,聯絡人建立時間
condition.fields.lastUserInputTypes.text,Text,文字
condition.fields.lastUserInputTypes.location,Location,位置
condition.fields.lastUserInputTypes.refLink,Ref link,參考連結
condition.fields.lastUserInputTypes.image,Image,圖片
condition.fields.lastUserInputTypes.video,Video,影片
condition.fields.lastUserInputTypes.audio,Audio,音頻
condition.fields.lastUserInputTypes.gif,GIF,GIF
condition.fields.lastUserInputTypes.file,File,檔案
condition.fieldGroups.opportunity,Opportunity,機會
condition.fieldGroups.instagram,Instagram,Instagram
condition.fieldGroups.analytics,Analytics,分析
condition.fieldGroups.facebookInstagramComment,Facebook/Instagram Comment,Facebook / Instagram 留言
condition.fieldGroups.broadcastWhatsapp,Broadcast (WhatsApp),廣播 (WhatsApp)
condition.fieldGroups.systemTime,System Time,系統時間
condition.fieldGroups.ecommerce,Ecommerce,電子商務
condition.fieldGroups.systemFields,System Fields,系統欄位
condition.fieldGroups.topicCoupon,Topic coupon,主題優惠券
condition.fieldGroups.customFields,Custom Fields,自訂欄位
condition.fieldGroups.email,Email,電子郵件
condition.fieldGroups.sms,SMS,簡訊
condition.languages.ar,Arabic,阿拉伯語
condition.languages.de,German,德語
condition.languages.en,English,英語
condition.languages.es,Spanish,西班牙語
condition.languages.fil,Filipino,菲律賓語
condition.languages.fr,French,法語
condition.languages.hi,Hindi,印地語
condition.languages.id,Indonesian,印尼語
condition.languages.it,Italian,義大利語
condition.languages.ja,Japanese,日語
condition.languages.km,Khmer,高棉語
condition.languages.ko,Korean,韓語
condition.languages.lo,Lao,寮國
condition.languages.ms,Malay,馬來語
condition.languages.my,Burmese,緬甸語
condition.languages.nl,Dutch,荷蘭語
condition.languages.pt,Portuguese,葡萄牙語
condition.languages.ru,Russian,俄語
condition.languages.th,Thai,泰語
condition.languages.vi,Vietnamese,越南語
condition.languages.zh,Chinese,中文
condition.sources.direct,Direct,直接
condition.sources.comments,Comments,留言
condition.sources.ads,Ads,廣告
condition.sources.fbLeadAd,FB Lead Ad,FB 領先廣告
condition.sources.inboundMessage,Inbound Message,傳入訊息
condition.sources.imported,Imported,匯入
condition.sources.api,API,API
condition.sources.webchat,Webchat,網路聊天
condition.sources.botLink,Bot Link,機器人連結
condition.sources.chatPlugin,C. chat plugin,C.聊天外掛
channels.title,Channels,頻道
channels.duplicated.generic,This account is already connected to another workspace.,此帳戶已連接到另一個工作區。
